sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1.952648,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
2,1.640289,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
3,1.58951,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
4,1.570016,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
5,1.530351,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
6,1.681941,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
7,1.93326,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
8,1.915681,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
9,1.949366,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
10,1.865032,1500,1500,0.023341744242337,0.0222792635448226,0.0233417442423327,svds,0.05,randcorr
