sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,28.045143,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
2,29.269288,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
3,56.499631,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
4,66.890836,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
5,74.931697,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
6,72.395717,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
7,78.397154,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
8,70.041686,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
9,77.420307,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
10,77.562063,1500,1500,0.0776336458789987,0.0751841687947064,0.077633645878993,svds,0.1,venkat01
